text,label
Propacetamol may increase the hepatotoxic activities of Mipomersen.,Grave
Zalcitabine may increase the hepatotoxic activities of Ribavirin.,Grave
Imatinib may increase the hepatotoxic activities of Propacetamol.,Grave
Cyclosporine may increase the hepatotoxic activities of Testosterone propionate.,Grave
Amodiaquine may increase the hepatotoxic activities of Efavirenz.,Grave
Diazepam may increase the hepatotoxic activities of Tetracosactide.,Grave
Bedaquiline may increase the hepatotoxic activities of Ethanol.,Grave
Methotrexate may increase the hepatotoxic activities of Alitretinoin.,Grave
Sorafenib may increase the hepatotoxic activities of Acetaminophen.,Grave
Abacavir may increase the hepatotoxic activities of Ribavirin.,Grave
Isoniazid may increase the hepatotoxic activities of Rifaximin.,Grave
Propacetamol may increase the hepatotoxic activities of Sorafenib.,Grave
Isoniazid may increase the hepatotoxic activities of Rifabutin.,Grave
Cyclophosphamide may increase the hepatotoxic activities of Azathioprine.,Grave
Primidone may increase the hepatotoxic activities of Tetracosactide.,Grave
Methotrexate may increase the hepatotoxic activities of Acitretin.,Grave
Mipomersen may increase the hepatotoxic activities of Amiodarone.,Grave
Acetaminophen may increase the hepatotoxic activities of Ethanol.,Grave
Cyclosporine may increase the hepatotoxic activities of Oxandrolone.,Grave
Mercaptopurine may increase the hepatotoxic activities of Doxorubicin.,Grave
Propacetamol may increase the hepatotoxic activities of Isoniazid.,Grave
Phenytoin may increase the hepatotoxic activities of Tetracosactide.,Grave
Propacetamol may increase the hepatotoxic activities of Dasatinib.,Grave
Cyclosporine may increase the hepatotoxic activities of Nandrolone decanoate.,Grave
Mipomersen may increase the hepatotoxic activities of Ethanol.,Grave
Mipomersen may increase the hepatotoxic activities of Demeclocycline.,Grave
Cyclosporine may increase the hepatotoxic activities of Danazol.,Grave
Mipomersen may increase the hepatotoxic activities of Chlortetracycline.,Grave
Bosentan may increase the hepatotoxic activities of Glyburide.,Grave
Cyclosporine may increase the hepatotoxic activities of Testosterone.,Grave
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Imatinib resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Celecoxib resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Isradipine resulting in a loss in efficacy.,Leve
Riboflavin may increase the photosensitizing activities of Verteporfin.,Leve
The serum concentration of the active metabolites of Mycophenolic acid can be reduced when Mycophenolic acid is used in combination with Mezlocillin resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Artemether can be reduced when Artemether is used in combination with Rifapentine resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Lansoprazole resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Ketoconazole resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Ticagrelor can be reduced when Ticagrelor is used in combination with Telithromycin resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Prasugrel can be reduced when Prasugrel is used in combination with Nefazodone resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Sildenafil resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Mycophenolic acid can be reduced when Mycophenolic acid is used in combination with Amoxicillin resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Tegafur can be reduced when Tegafur is used in combination with Amiodarone resulting in a loss in efficacy.,Leve
The serum concentration of the active metabolites of Amiodarone can be reduced when Amiodarone is used in combination with Rifampicin resulting in a loss in efficacy.,Leve
