Drug 1,Drug 2,Interaction Description,severity,desc_len
Rifabutin,Digoxin,The metabolism of Digoxin can be increased when combined with Rifabutin.,Moderada,72
Phenytoin,Digoxin,The metabolism of Digoxin can be increased when combined with Phenytoin.,Moderada,72
Rifampicin,Digoxin,The metabolism of Digoxin can be increased when combined with Rifampicin.,Moderada,73
Fosphenytoin,Digoxin,The metabolism of Digoxin can be increased when combined with Fosphenytoin.,Moderada,75
Carbamazepine,Digoxin,The metabolism of Digoxin can be increased when combined with Carbamazepine.,Moderada,76
Primidone,Digoxin,The metabolism of Digoxin can be increased when combined with Primidone.,Moderada,72
Phenobarbital,Digoxin,The metabolism of Digoxin can be increased when combined with Phenobarbital.,Moderada,76
Pentobarbital,Digoxin,The metabolism of Digoxin can be increased when combined with Pentobarbital.,Moderada,76
Nevirapine,Digoxin,The metabolism of Digoxin can be increased when combined with Nevirapine.,Moderada,73
Rifapentine,Digoxin,The metabolism of Digoxin can be increased when combined with Rifapentine.,Moderada,74
Bosentan,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Bosentan.,Moderada,86
Lumacaftor,Digoxin,The serum concentration of Digoxin can be decreased when it is combined with Lumacaftor.,Moderada,88
Crizotinib,Digoxin,Crizotinib may decrease the cardiotoxic activities of Digoxin.,Moderada,62
Rucaparib,Digoxin,Rucaparib may decrease the cardiotoxic activities of Digoxin.,Moderada,61
Bortezomib,Digoxin,Bortezomib may decrease the cardiotoxic activities of Digoxin.,Moderada,62
Betaxolol,Digoxin,Betaxolol may increase the bradycardic activities of Digoxin.,Moderada,61
Nilotinib,Digoxin,Nilotinib may decrease the cardiotoxic activities of Digoxin.,Moderada,61
Oxprenolol,Digoxin,Oxprenolol may increase the bradycardic activities of Digoxin.,Moderada,62
Metoprolol,Digoxin,Metoprolol may increase the bradycardic activities of Digoxin.,Moderada,62
Indapamide,Digoxin,The risk or severity of adverse effects can be increased when Indapamide is combined with Digoxin.,Moderada,98
Doxorubicin,Digoxin,Doxorubicin may decrease the cardiotoxic activities of Digoxin.,Moderada,63
